rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1,BRA,1841.3,1837.56,0,CONMEBOL,2022-10-06
2,BEL,1816.71,1821.92,0,UEFA,2022-10-06
3,ARG,1773.88,1770.65,0,CONMEBOL,2022-10-06
4,FRA,1759.78,1764.85,0,UEFA,2022-10-06
5,ENG,1728.47,1737.46,0,UEFA,2022-10-06
6,ESP,1715.22,1716.93,-1,UEFA,2022-10-06
8,NED,1679.41,1679.41,0,UEFA,2022-10-06
9,POR,1678.65,1678.65,0,UEFA,2022-10-06
10,DEN,1666.57,1665.47,0,UEFA,2022-10-06
11,GER,1650.21,1658.96,0,UEFA,2022-10-06
13,MEX,1649.57,1649.57,-1,CONCACAF,2022-10-06
14,URU,1638.89,1640.95,-1,CONMEBOL,2022-10-06
16,USA,1627.48,1635.01,-2,CONCACAF,2022-10-06
12,CRO,1645.64,1632.15,3,UEFA,2022-10-06
15,CHE,1635.92,1621.43,1,UEFA,2022-10-06
18,SEN,1584.38,1584.59,0,CAF,2022-10-06
19,WAL,1569.82,1582.13,0,UEFA,2022-10-06
20,IRN,1564.61,1558.64,2,AFC,2022-10-06
22,MAR,NA,1563.5,1,CAF,2022-10-06
24,JPN,1559.54,1554.69,0,AFC,2022-10-06
21,SRB,1563.62,1549.53,4,UEFA,2022-10-06
26,POL,1548.59,1546.18,0,UEFA,2022-10-06
28,KOR,1530.3,1526.02,0,AFC,2022-10-06
30,TUN,1507.54,1507.86,0,CAF,2022-10-06
31,CRC,1503.59,1500.06,4,CONCACAF,2022-10-06
43,CMR,1471.44,1484.95,-5,CAF,2022-10-06
38,AUS,1488.72,1483.73,0,AFC,2022-10-06
41,CAN,1475,1473.82,2,CONCACAF,2022-10-06
44,ECU,1464.39,1463.74,0,CONMEBOL,2022-10-06
50,QAT,1439.89,1441.97,-2,AFC,2022-10-06
51,KSA,1437.78,1435.74,0,AFC,2022-10-06
61,GHA,1393,1393.47,-1,CAF,2022-10-06
